-BEGIN HEADER-
Dataset: NASA_Sukabumi_Hourly.csv
Variabel: RH2M
Forecast Summary:
Ringkasan prediksi kelembaban udara (RH2M) untuk periode 01-01-2023 hingga 08-01-2023:

▸ Statistik: rata-rata 87.50 % (sangat lembab), tertinggi 90.21 %, terendah 83.49 %, standar deviasi 2.36 %. Rentang nilai harian mencapai 6.72 %.

▸ Pola harian: puncak sekitar pukul 02:00, lembah sekitar pukul 13:00. Tren meningkat menuju akhir periode.

▸ Analisis: Kelembaban tinggi perlu diperhatikan karena berpotensi mempercepat korosi pada komponen turbin. Pemantauan berkala tetap disarankan untuk mengantisipasi perubahan kondisi atmosfer yang dapat mempengaruhi kinerja sistem.

▸ Performa model: XGB — MAE **0.408** %, RMSE **0.569** %, sMAPE **0.49%**, R² **0.993** (sangat baik). Model mampu menjelaskan variasi data dengan kemampuan sangat baik. Akurasi keseluruhan tergolong **tinggi**.

-END HEADER-

YEAR;MO;DY;HR;RH2M;GBR;XGB;KNN;LSTM;BiLSTM
2013;1;6;1;92,56;92,388;92,381;92,903;92,46;92,231
2013;1;6;2;92,88;92,6;92,692;92,896;92,467;92,43
2013;1;6;3;92,94;92,708;92,808;92,803;92,579;92,703
2013;1;6;4;92,25;92,6;92,624;92,379;92,66;92,657
2013;1;6;5;92,44;92,288;92,301;92,096;92,475;92,098
2013;1;6;6;92,31;91,684;91,625;91,445;91,653;91,057
2013;1;6;7;90,12;89,933;90,49;90,243;90,326;90,019
2013;1;6;8;89,25;88,204;88,662;88,001;88,607;87,807
2013;1;6;9;88,56;87,133;87,641;86,605;86,312;85,91
2013;1;6;10;86,38;86,559;86,795;85,029;85,378;85,061
2013;1;6;11;82,75;83,889;84,45;83,845;85,815;85,43
2013;1;6;12;79,75;81,937;82,068;82,574;84,544;84,803
2013;1;6;13;79,06;79,92;79,971;81,98;81,057;82,633
2013;1;6;14;79,44;79,903;79,812;81,925;78,668;80,686
2013;1;6;15;80,19;81,088;81,364;82,775;79,865;80,946
2013;1;6;16;81,25;83,253;83,119;84,211;82,997;83,131
2013;1;6;17;84,06;85,573;85,435;86,425;85,316;85,661
2013;1;6;18;86,25;87,569;87,306;88,755;86,43;87,459
2013;1;6;19;86,31;88,115;87,577;89,636;87,338;88,209
2013;1;6;20;86,44;87,936;87,159;89,779;88,084;88,826
2013;1;6;21;86,94;87,828;87,011;89,778;88,294;88,777
2013;1;6;22;87,56;87,99;87,484;89,785;88,233;88,386
2013;1;6;23;88,44;88,396;88,025;90,425;88,3;88,158
2013;1;7;0;89,5;89,041;89,083;90,9;88,547;88,238
2013;1;7;1;89,88;89,845;89,975;90,925;89,167;88,887
2013;1;7;2;88,94;89,862;89,847;90,865;89,928;89,686
2013;1;7;3;87,0;88,913;88,503;90,456;90,495;90,31
2013;1;7;4;85,44;87,26;86,358;90,01;90,15;89,883
2013;1;7;5;84,19;85,319;84,614;88,597;88,335;88,307
2013;1;7;6;82,94;83,687;83,575;86,292;85,107;84,411
2013;1;7;7;77,94;80,847;80,17;83,074;81,119;79,787
2013;1;7;8;73,62;75,611;74,833;78,566;76,886;76,238
2013;1;7;9;72,5;72,418;71,492;75,142;72,223;72,546
2013;1;7;10;71,75;71,061;70,742;73,419;69,236;69,843
2013;1;7;11;71,62;70,813;70,607;73,039;69,887;69,468
2013;1;7;12;72,31;71,358;71,193;73,037;71,547;70,311
2013;1;7;13;73,69;72,601;72,648;73,619;73,021;72,498
2013;1;7;14;75,31;74,407;74,905;75,406;74,987;75,558
2013;1;7;15;77,38;77,399;77,608;77,639;77,713;78,72
2013;1;7;16;80,5;80,926;80,597;80,483;80,975;81,564
2013;1;7;17;85,81;84,431;84,91;84,108;83,643;84,189
2013;1;7;18;90,31;88,333;89,028;87,565;85,952;86,879
2013;1;7;19;91,25;90,212;90,952;88,958;88,336;88,68
2013;1;7;20;91,5;91,32;91,764;90,115;90,475;90,495
2013;1;7;21;91,38;91,601;91,707;90,81;91,715;91,376
2013;1;7;22;91,5;91,619;91,584;90,976;92,103;91,454
2013;1;7;23;92,0;91,796;91,721;91,237;92,059;91,329
2013;1;8;0;92,25;92,01;92,064;91,591;91,873;91,255
2013;1;8;1;92,25;92,251;92,345;91,65;91,963;91,675
2013;1;8;2;91,94;92,25;92,226;91,852;92,156;91,985
2013;1;8;3;91,69;91,974;91,946;91,831;92,229;92,099
2013;1;8;4;91,25;91,626;91,421;91,695;91,987;91,771
2013;1;8;5;90,5;90,861;90,904;91,326;91,418;91,021
2013;1;8;6;88,31;89,36;89,204;90,275;90,316;89,966
2013;1;8;7;85,12;86,0;85,412;86,692;87,936;86,812
2013;1;8;8;81,62;81,504;81,638;83,299;83,612;82,847
2013;1;8;9;78,88;78,889;78,898;81,086;79,029;79,507
2013;1;8;10;77,62;77,158;77,003;79,175;76,191;77,232
2013;1;8;11;77,81;76,116;76,536;78,003;75,403;76,076
2013;1;8;12;78,31;76,877;77,297;78,04;76,184;76,48
2013;1;8;13;79,06;78,008;78,163;78,865;78,387;78,369
2013;1;8;14;80,44;79,876;79,755;80,148;80,76;80,881
2013;1;8;15;82,75;82,031;82,237;81,472;82,908;83,278
2013;1;8;16;85,62;84,312;84,904;84,034;85,215;85,777
2013;1;8;17;88,88;87,959;88,477;87,776;87,536;88,336
2013;1;8;18;91,12;90,126;90,844;90,125;89,321;89,537
2013;1;8;19;91,62;91,143;91,49;90,91;90,531;90,672
2013;1;8;20;91,56;91,647;91,903;91,279;91,369;91,468
2013;1;8;21;91,25;91,657;91,62;91,259;91,86;91,69
2013;1;8;22;91,25;91,495;91,459;91,466;92,011;91,479
2013;1;8;23;91,06;91,373;91,38;91,637;91,928;91,12
2013;1;9;0;90,69;91,187;91,137;91,712;91,703;90,869
2013;1;9;1;90,12;90,875;90,704;91,67;91,572;90,975
2013;1;9;2;89,56;90,472;90,247;91,478;91,315;90,894
2013;1;9;3;89,62;89,935;89,773;91,227;90,866;90,694
2013;1;9;4;90,06;89,77;89,698;90,9;90,194;90,14
2013;1;9;5;90,75;90,087;90,135;90,696;89,52;89,403
2013;1;9;6;90,19;89,899;90,019;90,203;89,026;88,751
2013;1;9;7;89,19;88,2;88,119;88,54;88,387;87,549
2013;1;9;8;88,12;86,844;87,325;86,733;86,867;86,136
2013;1;9;9;87,31;86,011;86,393;85,297;85,151;85,083
2013;1;9;10;86,69;85,294;85,849;84,497;84,659;84,731
2013;1;9;11;86,12;84,771;85,559;83,816;85,189;84,984
2013;1;9;12;85,56;84,697;85,283;83,397;85,64;85,596
2013;1;9;13;85,62;84,806;85,792;83,628;85,637;86,261
2013;1;9;14;86,12;85,314;86,452;84,414;85,804;87,046
2013;1;9;15;87,25;85,969;87,257;85,72;86,798;88,301
2013;1;9;16;88,94;86,931;88,355;87,808;88,309;88,935
2013;1;9;17;90,81;89,581;89,863;89,943;89,721;89,61
2013;1;9;18;91,81;91,3;91,729;91,099;90,795;90,391
2013;1;9;19;92,0;91,857;92,101;91,356;91,52;91,09
2013;1;9;20;91,88;92,003;92,113;91,384;91,917;91,503
2013;1;9;21;91,75;91,979;91,926;91,442;92,079;91,537
2013;1;9;22;91,75;91,915;91,827;91,904;92,101;91,344
2013;1;9;23;91,81;91,915;91,869;92,036;92,044;91,077
2013;1;10;0;91,88;91,915;91,855;92,164;91,911;91,0
2013;1;10;1;91,75;91,915;91,863;92,085;91,96;91,333
2013;1;10;2;91,69;91,914;91,821;92,087;92,004;91,642
2013;1;10;3;91,5;91,76;91,664;91,928;92,005;91,911
2013;1;10;4;91,5;91,511;91,493;91,828;91,848;91,773
2013;1;10;5;91,81;91,534;91,419;91,362;91,466;91,13
2013;1;10;6;91,38;91,021;90,999;90,314;90,855;90,125
2013;1;10;7;89,69;89,338;89,523;88,862;89,977;89,06
2013;1;10;8;86,19;86,672;86,965;87,32;88,463;86,941
2013;1;10;9;83,0;83,463;83,731;85,249;85,77;84,303
2013;1;10;10;79,94;80,728;80,696;83,166;81,943;81,296
2013;1;10;11;78,75;78,625;79,022;81,838;78,543;78,498
2013;1;10;12;78,25;77,883;78,259;81,354;76,985;77,021
2013;1;10;13;78,5;78,272;78,526;80,935;77,481;77,303
2013;1;10;14;79,12;79,377;79,291;81,056;79,448;79,202
2013;1;10;15;80,88;81,048;81,078;82,109;81,551;81,606
2013;1;10;16;83,31;83,751;83,744;83,784;83,552;84,164
2013;1;10;17;87,0;86,354;86,954;86,492;85,67;86,912
2013;1;10;18;89,62;89,088;89,473;89,224;87,696;88,263
2013;1;10;19;90,06;90,181;90,2;90,346;89,459;89,572
2013;1;10;20;90,19;90,442;90,603;90,882;90,67;90,642
2013;1;10;21;90,38;90,496;90,541;90,999;91,132;90,94
2013;1;10;22;90,38;90,651;90,615;91,155;91,169;90,769
2013;1;10;23;89,94;90,488;90,478;91,242;91,126;90,535
2013;1;11;0;89,94;90,362;90,097;91,626;90,969;90,325
2013;1;11;1;90,25;90,312;90,105;91,673;90,834;90,385
2013;1;11;2;90,81;90,65;90,578;91,681;90,69;90,454
2013;1;11;3;91,12;90,907;90,913;91,595;90,729;90,792
2013;1;11;4;91,38;91,003;91,034;91,483;90,906;90,917
2013;1;11;5;91,5;91,234;91,188;91,163;91,03;90,615
