-BEGIN HEADER-
Dataset: NASA_Baron_Hourly.csv
Variabel: WS10M, WD10M, RH2M, T2M, PS
Mode: Best Stacking (XGB + Best DL) per variabel
WS10M | Model: XGB-LSTM [WS10M] | MAE=0.19 RMSE=0.253 sMAPE=7.13% R2=0.962
WD10M | Model: XGB-LSTM [WD10M] | MAE=N/A RMSE=N/A CircularMAE=2.605° R2=N/A
RH2M | Model: XGB-LSTM [RH2M] | MAE=1.076 RMSE=1.446 MAE=1.08 R2=0.964
T2M | Model: XGB-LSTM [T2M] | MAE=0.226 RMSE=0.296 sMAPE=0.87% R2=0.973
PS | Model: XGB-LSTM [PS] | MAE=0.023 RMSE=0.029 MAE=0.023 R2=0.969

Forecast Summary:
Ringkasan prediksi cuaca untuk periode 01-01-2023 hingga 08-01-2023:

▸ Kecepatan angin (WS10M): rata-rata **1.24 m/s**, kategori **tenang (calm)**, tren menurun menuju akhir periode. Tertinggi **4.68 m/s**, terendah **0.68 m/s**. Puncak pukul **12:00**, terendah pukul **01:00**. Model: **XGB-LSTM [WS10M]** | sMAPE **7.13%** | RMSE **0.253** (akurasi **tinggi**).

▸ Arah angin (WD10M): rata-rata **266.30 derajat**, kategori **dari barat daya**, tren menurun menuju akhir periode. Tertinggi **292.11 derajat**, terendah **257.88 derajat**. Puncak pukul **08:00**, terendah pukul **01:00**. Model: **XGB-LSTM [WD10M]** | CircularMAE **2.605°** | Acc±15° **98.3%** (akurasi **tinggi**).

▸ Kelembaban udara (RH2M): rata-rata **57.16 %**, kategori **nyaman**, tren menurun menuju akhir periode. Tertinggi **86.74 %**, terendah **54.38 %**. Puncak pukul **07:00**, terendah pukul **06:00**. Model: **XGB-LSTM [RH2M]** | MAE **1.08%** | RMSE **1.446** (akurasi **tinggi**).

▸ Suhu udara (T2M): rata-rata **22.26 °C**, kategori **sejuk**, tren menurun menuju akhir periode. Tertinggi **26.67 °C**, terendah **21.35 °C**. Puncak pukul **09:00**, terendah pukul **23:00**. Model: **XGB-LSTM [T2M]** | sMAPE **0.87%** | RMSE **0.296** (akurasi **tinggi**).

▸ Tekanan atmosfer (PS): rata-rata **98.69 kPa**, kategori **rendah**, tren relatif stabil sepanjang periode. Tertinggi **99.32 kPa**, terendah **98.65 kPa**. Puncak pukul **07:00**, terendah pukul **23:00**. Model: **XGB-LSTM [PS]** | MAE **0.02%** | RMSE **0.029** (akurasi **tinggi**).


Rata-rata error keseluruhan: **2.28%** — tingkat akurasi prediksi tergolong **tinggi** (CircularMAE untuk arah angin, MAE/sMAPE untuk variabel lain).

Klasifikasi lokasi: **Very Stable** — kondisi atmosfer sangat konsisten — ideal untuk prediksi energi jangka panjang pada PLTB. Hasil ini dapat digunakan sebagai referensi dalam perencanaan dan optimasi sistem PLTB.

-END HEADER-

YEAR;MO;DY;HR;WS10M;WD10M;RH2M;T2M;PS;XGB_Base_WS10M;XGB_LSTM_WS10M;XGB_Base_WD10M;XGB_LSTM_WD10M;XGB_Base_RH2M;XGB_LSTM_RH2M;XGB_Base_T2M;XGB_LSTM_T2M;XGB_Base_PS;XGB_LSTM_PS
2014;9;2;18;3,99;147,96;80,69;23,48;99,34;4,119;3,933;147,879;146,239;81,766;83,933;23,507;23,007;99,333;99,334
2014;9;2;19;3,6;145,34;83,56;22,95;99,41;3,657;3,422;144,937;144,252;84,057;85,862;23,002;22,763;99,406;99,409
2014;9;2;20;3,19;140,77;86,0;22,51;99,47;3,312;3,28;141,393;141,152;85,515;87,073;22,71;22,504;99,463;99,454
2014;9;2;21;2,91;134,13;87,75;22,14;99,51;2,976;3,046;134,04;135,572;87,253;87,86;22,282;22,271;99,495;99,477
2014;9;2;22;2,77;128,94;89,06;21,83;99,54;2,746;2,799;129,024;129,186;88,821;88,54;21,979;22,078;99,514;99,476
2014;9;2;23;2,7;129,25;90,06;21,57;99,53;2,643;2,77;129,399;125,964;89,936;89,217;21,697;21,873;99,505;99,453
2014;9;3;0;2,68;130,98;91,25;21,3;99,51;2,687;2,694;131,328;131,058;90,962;89,803;21,447;21,644;99,488;99,412
2014;9;3;1;2,71;131,73;92,69;21,03;99,5;2,662;2,716;131,7;132,368;92,107;90,941;21,191;21,444;99,473;99,409
2014;9;3;2;2,77;130,3;94,25;20,77;99,5;2,736;2,723;130,303;131,895;93,554;91,905;20,894;21,181;99,475;99,414
2014;9;3;3;2,8;129,79;95,38;20,56;99,51;2,806;2,77;129,97;128,245;94,904;92,97;20,586;20,921;99,489;99,446
2014;9;3;4;2,83;128,83;96,56;20,33;99,53;2,828;2,934;128,915;128,055;96,347;93,852;20,524;20,692;99,538;99,484
2014;9;3;5;2,82;126,77;97,38;20,17;99,55;2,853;2,975;126,787;127,001;96,871;93,797;20,465;20,689;99,57;99,523
2014;9;3;6;3,0;124,81;88,62;21,99;99,58;3,121;3,088;124,734;124,584;89,698;90,579;22,067;21,755;99,599;99,568
2014;9;3;7;3,29;124,75;78,56;23,89;99,6;3,337;3,361;124,683;123,418;79,012;82,866;23,769;23,4;99,622;99,588
2014;9;3;8;3,06;126,9;69,25;25,54;99,6;3,247;3,535;126,891;125,364;70,014;72,702;25,451;25,147;99,613;99,579
2014;9;3;9;2,99;135,95;62,69;26,92;99,55;3,104;3,377;135,828;129,336;63,878;64,37;26,946;26,822;99,565;99,53
2014;9;3;10;3,24;147,12;58,31;27,97;99,46;3,176;3,171;146,735;143,995;59,909;59,676;28,146;28,154;99,478;99,453
2014;9;3;11;3,6;155,27;55,5;28,72;99,38;3,534;3,554;155,291;154,938;58,094;56,755;28,77;28,788;99,374;99,354
2014;9;3;12;4,06;159,02;54,25;29,05;99,3;4,002;4,018;158,903;159,993;57,096;56,636;28,99;28,866;99,288;99,252
2014;9;3;13;4,47;159,63;54,69;28,97;99,22;4,446;4,368;159,767;160,686;56,743;56,725;29,039;28,702;99,222;99,186
2014;9;3;14;4,66;157,95;56,12;28,53;99,18;4,806;4,725;158,17;159,166;57,304;57,345;28,561;28,356;99,182;99,164
2014;9;3;15;4,8;155,77;58,62;27,75;99,16;4,879;4,692;155,985;155,47;58,723;59,591;27,931;27,541;99,167;99,177
2014;9;3;16;4,92;154,94;63,5;26,46;99,18;4,748;4,662;154,598;152,399;65,125;63,231;26,495;26,207;99,194;99,216
2014;9;3;17;4,64;153,91;73,25;24,37;99,22;4,649;4,634;153,889;152,139;73,898;71,664;24,814;24,607;99,235;99,271
2014;9;3;18;4,58;149,67;80,25;23,01;99,29;4,428;4,285;149,614;150,853;80,501;80,438;23,303;23,266;99,306;99,33
2014;9;3;19;4,2;143,39;83,75;22,35;99,36;4,191;4,265;143,836;144,504;84,282;84,549;22,629;22,725;99,366;99,386
2014;9;3;20;3,81;137,91;86,0;21,92;99,41;3,907;4,002;138,608;136,865;85,942;87,262;22,085;22,236;99,42;99,425
2014;9;3;21;3,44;133,44;88,06;21,57;99,45;3,505;3,474;133,756;132,407;87,451;88,549;21,707;21,838;99,447;99,448
2014;9;3;22;3,12;131,65;89,75;21,3;99,47;3,223;3,316;131,657;129,899;89,324;89,223;21,388;21,526;99,462;99,447
2014;9;3;23;2,92;134,24;91,0;21,11;99,44;2,934;3,009;134,113;130,473;90,659;89,826;21,143;21,27;99,446;99,421
2014;9;4;0;2,86;140,21;91,94;20,94;99,39;2,875;2,845;140,126;137,451;91,722;90,462;20,914;21,054;99,393;99,371
2014;9;4;1;2,91;146,82;92,94;20,78;99,34;2,842;2,887;145,974;144,178;92,719;91,724;20,871;20,902;99,346;99,349
2014;9;4;2;2,96;150,46;93,06;20,71;99,32;2,918;2,922;150,145;150,224;93,291;92,725;20,856;20,713;99,317;99,328
2014;9;4;3;2,96;151,14;92,75;20,65;99,31;2,966;2,987;150,996;150,531;93,441;93,527;20,503;20,549;99,32;99,32
2014;9;4;4;2,9;147,77;92,44;20,57;99,34;2,938;3,064;147,913;148,614;93,15;93,523;20,438;20,426;99,338;99,33
2014;9;4;5;2,79;143,32;91,88;20,56;99,38;2,864;3,055;143,618;143,006;92,533;91,861;20,329;20,641;99,39;99,363
2014;9;4;6;2,94;140,6;83,94;22,37;99,41;3,035;2,987;140,779;138,494;85,084;85,545;22,153;22,007;99,435;99,406
2014;9;4;7;3,3;138,16;74,88;24,05;99,45;3,278;3,154;137,973;137,948;75,327;75,582;23,94;23,913;99,47;99,436
2014;9;4;8;3,1;136,53;68,56;25,45;99,46;3,276;3,544;136,606;136,321;67,916;66,066;25,525;25,645;99,469;99,431
2014;9;4;9;2,83;138,35;63,31;26,73;99,44;3,04;3,368;138,479;135,722;62,854;60,781;26,808;27,149;99,443;99,385
2014;9;4;10;2,7;145,39;59,25;27,8;99,38;2,808;3,092;144,442;140,641;59,441;57,342;27,934;28,105;99,374;99,319
2014;9;4;11;2,81;154,29;56,69;28,56;99,28;2,791;2,996;154,236;151,229;57,556;56,711;28,613;28,472;99,293;99,244
2014;9;4;12;3,15;161,21;55,0;29,01;99,2;3,084;3,075;161,126;160,86;56,894;56,661;28,963;28,542;99,198;99,173
2014;9;4;13;3,68;165,61;54,38;29,12;99,12;3,583;3,464;165,059;165,019;56,42;56,711;29,076;28,526;99,124;99,109
2014;9;4;14;4,28;168,1;55,19;28,79;99,08;4,167;3,914;168,573;167,127;56,419;57,187;28,741;28,313;99,086;99,077
2014;9;4;15;4,99;170,17;58,31;27,9;99,07;4,721;4,448;169,923;168,07;57,824;59,242;28,094;27,602;99,077;99,08
2014;9;4;16;5,63;171,22;64,06;26,48;99,1;5,205;5,063;170,905;169,317;63,983;63,022;26,665;26,276;99,109;99,118
2014;9;4;17;5,47;169,72;73,0;24,63;99,16;5,342;5,564;169,363;169,566;73,864;71,801;24,704;24,573;99,171;99,176
2014;9;4;18;4,9;165,23;80,0;23,48;99,22;5,101;5,24;165,545;166,948;80,309;80,416;23,462;23,16;99,236;99,242
2014;9;4;19;4,09;158,93;83,56;22,93;99,29;4,31;4,492;159,606;161,281;84,072;84,294;22,891;22,684;99,296;99,31
2014;9;4;20;3,42;152,38;85,75;22,58;99,34;3,572;3,492;152,656;153,021;85,847;86,758;22,612;22,308;99,344;99,356
2014;9;4;21;2,91;144,52;87,5;22,29;99,36;3,03;3,104;144,699;146,429;87,293;88,056;22,27;22,047;99,365;99,376
2014;9;4;22;2,65;137,99;89,06;22,03;99,37;2,675;2,655;138,621;138,231;88,743;88,769;22,11;21,876;99,36;99,371
2014;9;4;23;2,56;133,39;90,25;21,8;99,33;2,531;2,553;133,15;133,289;90,097;89,32;21,878;21,75;99,335;99,335
2014;9;5;0;2,45;127,75;90,75;21,69;99,28;2,457;2,581;127,838;131,271;91,061;89,849;21,697;21,628;99,277;99,272
2014;9;5;1;2,39;119,84;91,12;21,55;99,24;2,415;2,587;120,168;124,509;91,492;90,959;21,57;21,537;99,235;99,24
2014;9;5;2;2,34;114,68;91,5;21,41;99,23;2,337;2,437;115,057;115,061;91,68;91,738;21,44;21,386;99,22;99,218
2014;9;5;3;2,25;111,76;91,56;21,35;99,24;2,275;2,343;112,038;111,495;92,036;92,198;21,322;21,238;99,238;99,217
2014;9;5;4;2,15;105,8;91,31;21,31;99,28;2,208;2,34;106,273;109,856;92,004;92,049;21,32;21,152;99,288;99,245
2014;9;5;5;2,01;97,37;91,0;21,3;99,34;2,091;2,25;98,218;101,276;91,284;90,632;21,197;21,191;99,339;99,297
2014;9;5;6;2,04;90,44;85,38;22,52;99,37;2,056;2,211;91,053;91,017;85,206;84,101;22,536;22,557;99,391;99,356
2014;9;5;7;2,13;88,53;76,44;24,15;99,39;2,12;2,283;88,176;86,174;76,009;74,893;24,218;24,242;99,415;99,402
2014;9;5;8;1,94;94,38;69,06;25,73;99,39;2,011;2,406;94,262;90,342;68,375;66,538;25,621;25,745;99,405;99,399
2014;9;5;9;1,83;120,84;64,56;26,93;99,36;1,912;2,104;119,362;102,668;63,049;60,704;26,989;26,995;99,358;99,345
2014;9;5;10;2,35;148,32;61,94;27,84;99,28;2,03;2,108;147,44;144,191;60,554;56,823;28,057;28,02;99,287;99,268
2014;9;5;11;3,12;159,8;59,75;28,56;99,19;2,796;2,56;159,587;165,338;58,961;56,596;28,618;28,592;99,202;99,183
2014;9;5;12;3,84;163,93;58,56;28,9;99,1;3,698;3,686;163,266;164,986;58,176;56,644;28,889;28,72;99,104;99,093
2014;9;5;13;4,46;167,35;59,31;28,61;99,06;4,342;4,368;167,05;165,069;58,26;56,833;28,819;28,624;99,039;99,021
2014;9;5;14;5,04;170,19;61,5;28,03;99,05;4,909;4,861;169,906;168,194;59,82;58,107;28,222;28,272;99,027;98,989
2014;9;5;15;5,46;168,95;65,94;26,97;99,08;5,31;5,242;168,532;170,015;64,028;61,257;27,332;27,321;99,062;99,015
2014;9;5;16;5,78;165,12;71,75;25,69;99,12;5,544;5,519;165,15;166,656;70,487;67,859;25,884;25,839;99,131;99,085
2014;9;5;17;5,53;159,57;78,69;24,31;99,18;5,473;5,486;160,314;161,543;78,883;78,39;24,29;24,17;99,188;99,174
2014;9;5;18;5,0;151,95;83,44;23,51;99,26;5,046;5,017;152,144;154,008;83,81;84,949;23,325;22,991;99,259;99,259
2014;9;5;19;4,32;144,5;85,5;23,18;99,32;4,419;4,441;144,699;144,674;86,258;87,267;23,031;22,681;99,322;99,328
2014;9;5;20;3,62;139,02;87,12;22,91;99,35;3,782;3,791;139,441;137,243;87,01;88,409;22,791;22,435;99,372;99,371
2014;9;5;21;3,1;136,33;88,44;22,69;99,37;3,217;3,324;136,18;133,582;88,151;88,938;22,631;22,262;99,379;99,386
2014;9;5;22;2,78;138,3;89,38;22,55;99,36;2,842;2,813;137,958;133,609;89,273;89,278;22,458;22,167;99,362;99,366
2014;9;5;23;2,58;143,23;90,12;22,42;99,32;2,574;2,704;143,016;139,904;89,994;89,646;22,316;22,087;99,318;99,32
2014;9;6;0;2,46;147,98;90,81;22,28;99,28;2,465;2,52;147,79;147,544;90,858;89,977;22,214;21,994;99,268;99,251
2014;9;6;1;2,46;152,22;91,38;22,14;99,24;2,414;2,449;152,007;149,985;91,331;90,876;22,099;21,933;99,234;99,218
2014;9;6;2;2,51;153,59;91,81;22,03;99,23;2,452;2,428;153,739;153,53;91,924;91,527;22,033;21,802;99,218;99,205
2014;9;6;3;2,51;152,72;92,12;21,93;99,24;2,521;2,46;152,869;152,137;92,253;92,05;21,926;21,659;99,236;99,213
2014;9;6;4;2,41;149,04;92,44;21,83;99,27;2,476;2,578;148,928;149,405;92,459;92,096;21,799;21,597;99,279;99,248
2014;9;6;5;2,32;143,09;92,5;21,77;99,33;2,377;2,526;143,846;144,434;92,457;91,109;21,734;21,842;99,331;99,297
2014;9;6;6;2,72;138,38;86,81;22,93;99,41;2,563;2,458;139,059;137,642;87,134;86,59;22,93;23,038;99,392;99,353
2014;9;6;7;3,06;134,17;79,81;24,19;99,47;3,01;2,86;134,046;134,788;78,995;78,675;24,336;24,481;99,459;99,4
2014;9;6;8;2,98;131,92;73,69;25,47;99,52;3,136;3,441;131,946;131,77;72,921;71,106;25,589;25,761;99,5;99,425
2014;9;6;9;2,8;134,77;67,94;26,77;99,52;2,951;3,251;134,754;131,554;66,6;65,228;26,79;26,765;99,5;99,417
2014;9;6;10;2,85;144,83;64,0;27,86;99,46;2,813;3,138;144,374;138,761;63,936;62,591;27,704;27,537;99,451;99,384
2014;9;6;11;3,19;155,82;61,88;28,48;99,37;2,998;3,324;155,729;153,462;61,455;60,907;28,396;28,07;99,373;99,33
2014;9;6;12;3,64;164,32;60,81;28,83;99,28;3,528;3,523;164,2;163,537;60,029;60,09;28,798;28,415;99,283;99,258
2014;9;6;13;4,17;168,75;61,25;28,76;99,22;4,059;4,067;168,548;168,396;60,304;60,418;28,739;28,512;99,211;99,19
2014;9;6;14;4,7;170,33;63,38;28,19;99,2;4,576;4,477;169,914;169,878;62,754;61,807;28,341;28,246;99,181;99,16
2014;9;6;15;5,11;170,94;67,44;27,27;99,21;4,989;4,961;170,947;169,544;66,341;64,23;27,462;27,466;99,194;99,175
2014;9;6;16;5,31;170,01;73,5;25,98;99,24;5,2;5,16;169,896;169,279;72,905;70,844;26,07;26,218;99,254;99,227
2014;9;6;17;4,97;166,84;81,38;24,54;99,31;5,019;5,187;167,038;167,565;80,786;79,818;24,503;24,732;99,318;99,297
2014;9;6;18;4,43;160,41;87,12;23,62;99,38;4,594;4,552;160,677;163,561;85,723;85,521;23,62;23,586;99,378;99,366
2014;9;6;19;3,88;152,56;89,31;23,22;99,45;4,029;3,956;152,656;154,588;88,806;88,266;23,221;23,203;99,442;99,431
2014;9;6;20;3,47;146,38;90,19;23,01;99,48;3,508;3,435;146,577;145,51;90,009;90,079;22,929;22,904;99,492;99,471
2014;9;6;21;3,07;140,68;90,38;22,87;99,52;3,145;3,15;140,769;140,695;90,731;91,031;22,791;22,607;99,512;99,489
2014;9;6;22;2,7;139,45;90,81;22,74;99,53;2,787;2,956;139,739;135,954;90,967;91,363;22,645;22,416;99,504;99,477
2014;9;6;23;2,48;143,6;91,5;22,58;99,48;2,525;2,605;142,96;138,785;91,259;91,401;22,487;22,305;99,474;99,446
2014;9;7;0;2,32;147,22;91,81;22,44;99,43;2,351;2,41;147,294;147,957;91,761;91,346;22,361;22,216;99,429;99,395
2014;9;7;1;2,23;148,04;92,25;22,28;99,38;2,245;2,369;147,978;149,044;92,298;92,03;22,224;22,156;99,373;99,368
2014;9;7;2;2,19;147,22;92,62;22,07;99,36;2,215;2,239;147,22;147,313;92,611;92,412;22,116;21,999;99,351;99,348
2014;9;7;3;2,23;144,86;92,75;21,92;99,35;2,202;2,181;144,874;144,928;92,999;92,698;21,933;21,832;99,347;99,342
2014;9;7;4;2,35;137,97;92,94;21,8;99,38;2,281;2,283;138,642;141,21;93,117;92,612;21,82;21,773;99,367;99,364
2014;9;7;5;2,55;131,15;93,06;21,71;99,43;2,449;2,452;131,434;131,493;93,183;91,612;21,734;21,946;99,424;99,4
2014;9;7;6;3,3;127,3;87,81;23,07;99,48;3,084;2,763;127,124;126,375;88,119;88,134;23,027;23,05;99,484;99,454
2014;9;7;7;4,01;125,24;80,12;24,49;99,54;3,863;3,516;125,245;125,544;80,192;81,154;24,412;24,393;99,533;99,502
2014;9;7;8;4,33;125,81;72,06;26,11;99,58;4,28;4,276;126,091;125,148;72,827;74,182;25,702;25,681;99,563;99,514
2014;9;7;9;4,65;130,09;66,31;27,49;99,56;4,465;4,467;129,904;127,801;66,956;67,466;27,199;26,911;99,552;99,494
2014;9;7;10;5,02;134,75;62,38;28,46;99,49;4,867;4,738;134,712;135,456;62,759;63,561;28,444;28,044;99,487;99,448
2014;9;7;11;5,3;137,27;59,88;29,02;99,4;5,269;5,3;137,47;139,579;60,661;61,132;28,964;28,821;99,4;99,371
2014;9;7;12;5,48;138,7;58,31;29,28;99,32;5,498;5,516;138,698;139,595;59,474;60,004;29,252;29,118;99,313;99,279
2014;9;7;13;5,57;140,8;57,94;29,25;99,26;5,693;5,609;141,013;139,936;59,304;59,939;29,192;29,027;99,245;99,208
2014;9;7;14;5,63;143,53;58,69;28,89;99,23;5,751;5,665;143,208;142,236;59,242;60,768;28,747;28,601;99,219;99,184
2014;9;7;15;5,76;146,4;61,44;28,07;99,23;5,69;5,542;146,49;144,748;62,602;62,373;28,001;27,779;99,224;99,202
2014;9;7;16;6,01;149,0;66,88;26,79;99,27;5,792;5,56;148,75;146,943;68,024;66,502;26,651;26,642;99,275;99,254
2014;9;7;17;5,86;150,02;76,19;24,98;99,34;5,585;5,674;149,854;148,728;75,719;74,822;24,999;25,231;99,342;99,318
2014;9;7;18;5,56;147,16;83,19;23,83;99,42;5,46;5,427;147,428;148,261;82,166;82,06;23,862;24,092;99,414;99,39
2014;9;7;19;4,9;141,34;86,44;23,32;99,51;4,889;5,022;141,393;142,67;85,981;85,752;23,433;23,652;99,495;99,464
2014;9;7;20;4,29;135,3;88,19;23,06;99,58;4,364;4,497;135,257;134,949;87,567;88,281;23,039;23,225;99,555;99,513
2014;9;7;21;3,78;131,73;89,62;22,84;99,61;3,877;3,799;131,787;130,14;89,169;89,583;22,826;22,835;99,596;99,547
2014;9;7;22;3,61;130,52;90,0;22,71;99,63;3,558;3,48;130,475;129,13;90,102;90,213;22,682;22,546;99,601;99,558
2014;9;7;23;3,37;130,2;90,25;22,62;99,6;3,389;3,358;130,204;129,894;90,632;90,609;22,49;22,355;99,578;99,535
2014;9;8;0;3,15;131,08;91,0;22,5;99,55;3,265;3,396;131,328;130,87;91,016;90,765;22,471;22,217;99,542;99,484
2014;9;8;1;3,04;133,54;91,75;22,37;99,51;3,061;3,114;133,718;131,496;91,518;91,398;22,338;22,146;99,506;99,466
2014;9;8;2;3,02;136,05;92,5;22,25;99,49;2,993;3,039;135,947;135,134;92,285;91,785;22,182;22,008;99,489;99,447
2014;9;8;3;3,08;139,11;93,25;22,13;99,48;3,056;3,043;139,014;136,595;93,015;92,239;22,115;21,887;99,47;99,445
2014;9;8;4;3,17;141,41;94,12;22,03;99,52;3,122;3,245;141,028;139,174;93,774;92,435;22,037;21,886;99,506;99,467
2014;9;8;5;3,27;142,86;94,75;22,01;99,57;3,222;3,42;142,216;140,818;94,332;91,845;21,953;22,139;99,557;99,508
2014;9;8;6;4,47;143,81;87,81;23,4;99,63;4,117;3,587;143,702;141,88;88,697;88,421;23,338;23,391;99,628;99,57
2014;9;8;7;5,35;142,59;79,19;24,77;99,68;5,125;4,628;142,856;143,02;79,462;81,314;24,694;24,848;99,674;99,623
2014;9;8;8;5,79;141,96;72,0;26,03;99,71;5,612;5,868;142,325;140,84;71,586;73,161;26,068;26,178;99,7;99,645
2014;9;8;9;6,18;142,09;66,38;27,08;99,71;6,003;5,712;142,394;141,286;66,102;65,773;27,234;27,355;99,681;99,62
2014;9;8;10;6,5;142,96;62,88;27,7;99,65;6,408;6,319;142,964;142,495;62,495;62,35;27,836;28,161;99,645;99,564
2014;9;8;11;6,66;143,83;60,5;28,07;99,57;6,682;6,561;143,792;143,902;60,576;60,317;28,133;28,466;99,574;99,491
2014;9;8;12;6,66;144,56;58,69;28,24;99,48;6,752;6,595;144,669;144,621;59,033;59,484;28,255;28,366;99,486;99,415
2014;9;8;13;6,61;144,77;58,19;28,18;99,41;6,798;6,694;145,046;144,973;58,983;59,641;28,177;28,061;99,411;99,353
2014;9;8;14;6,5;144,78;58,88;27,76;99,37;6,578;6,455;145,005;144,45;59,406;60,543;27,815;27,606;99,366;99,328
2014;9;8;15;6,4;145,15;61,12;26,98;99,36;6,413;6,415;145,05;143,878;62,286;62,186;27,104;26,839;99,355;99,336
2014;9;8;16;6,34;146,82;65,5;25,84;99,38;6,179;6,145;146,621;144,057;66,816;66,255;26,001;25,764;99,384;99,374
2014;9;8;17;5,59;148,78;72,81;24,28;99,44;5,667;5,994;148,728;146,154;74,49;74,483;24,484;24,502;99,43;99,432
2014;9;8;18;4,78;148,83;78,12;23,32;99,51;4,936;5,099;148,701;147,869;79,363;81,311;23,448;23,544;99,511;99,495
2014;9;8;19;4,27;147,85;81,19;22,85;99,58;4,265;4,111;147,892;146,367;82,037;84,125;22,914;23,192;99,562;99,56
2014;9;8;20;4,14;146,4;82,75;22,6;99,65;3,981;3,749;146,32;144,718;83,635;85,872;22,676;22,814;99,626;99,604
2014;9;8;21;3,95;144,67;84,25;22,39;99,69;3,876;3,914;144,665;143,388;84,685;86,725;22,458;22,425;99,67;99,632
2014;9;8;22;3,85;143,76;85,31;22,23;99,7;3,759;3,841;143,625;142,05;85,576;87,119;22,208;22,147;99,681;99,639
2014;9;8;23;3,68;143,37;86,44;22,01;99,66;3,649;3,791;143,647;142,515;86,793;87,365;22,036;21,972;99,662;99,62
2014;9;9;0;3,48;142,31;87,62;21,77;99,6;3,572;3,564;142,672;143,508;87,627;87,58;21,87;21,817;99,605;99,568
2014;9;9;1;3,36;141,42;88,44;21,56;99,55;3,399;3,518;141,671;140,799;88,545;88,37;21,577;21,7;99,555;99,541
2014;9;9;2;3,35;140,4;88,69;21,4;99,53;3,337;3,324;140,107;139,966;89,47;89,049;21,447;21,505;99,543;99,51
2014;9;9;3;3,37;139,33;88,62;21,26;99,54;3,351;3,382;139,045;138,335;89,48;89,628;21,325;21,29;99,522;99,486
2014;9;9;4;3,42;136,67;88,31;21,12;99,57;3,39;3,597;136,582;136,723;88,768;89,584;21,119;21,115;99,565;99,503
2014;9;9;5;3,49;134,27;87,69;21,03;99,62;3,44;3,691;134,254;133,069;88,252;88,151;21,158;21,344;99,624;99,551
2014;9;9;6;4,33;133,76;80,12;22,48;99,69;4,285;3,906;133,798;131,414;81,53;82,16;22,611;22,555;99,68;99,614
2014;9;9;7;5,14;133,03;71,75;23,89;99,75;4,964;4,859;133,04;133,064;72,641;72,675;24,338;23,989;99,718;99,663
2014;9;9;8;5,39;133,18;65,19;25,23;99,78;5,426;5,342;133,137;132,505;65,229;64,709;25,541;25,287;99,718;99,687
2014;9;9;9;5,61;135,11;59,38;26,55;99,76;5,613;5,766;135,197;133,689;60,662;59,793;26,591;26,448;99,707;99,653
2014;9;9;10;5,94;138,84;54,75;27,59;99,68;5,916;5,635;138,896;137,367;58,444;56,84;27,366;27,357;99,678;99,578
2014;9;9;11;6,31;141,48;52,25;28,19;99,58;6,278;6,171;141,174;142,27;57,409;56,61;28,057;27,917;99,603;99,503
2014;9;9;12;6,63;141,6;51,25;28,43;99,48;6,665;6,423;141,189;143,529;56,4;56,533;28,275;28,202;99,498;99,438
2014;9;9;13;6,89;140,66;51,62;28,33;99,4;6,873;6,706;140,315;141,401;56,471;56,61;28,257;28,238;99,412;99,372
2014;9;9;14;7,05;139,5;53,38;27,86;99,35;7,024;6,905;139,212;139,542;56,602;57,079;27,858;27,91;99,349;99,327
2014;9;9;15;7,1;138,61;56,94;27,0;99,34;7,076;6,824;138,529;137,985;57,65;58,934;27,011;27,084;99,335;99,319
2014;9;9;16;6,83;137,74;62,62;25,75;99,35;6,944;6,777;137,66;136,89;63,0;62,313;25,77;25,832;99,371;99,351
2014;9;9;17;5,77;136,87;71,0;24,08;99,39;6,036;6,301;136,834;135,661;71,839;70,01;24,163;24,394;99,407;99,405
2014;9;9;18;4,95;135,51;76,06;23,08;99,46;5,105;4,934;135,478;134,502;77,317;77,853;23,171;23,237;99,47;99,464
2014;9;9;19;4,42;133,28;78,5;22,58;99,51;4,368;4,331;133,173;132,658;80,098;81,444;22,781;22,792;99,521;99,521
2014;9;9;20;3,96;130,04;81,0;22,12;99,57;4,019;4,133;130,022;130,436;81,121;83,415;22,239;22,374;99,576;99,564
2014;9;9;21;3,76;126,73;82,44;21,83;99,59;3,716;3,779;126,851;127,179;82,759;84,219;21,948;22,025;99,596;99,585
2014;9;9;22;3,73;124,69;83,56;21,58;99,6;3,576;3,506;124,723;124,333;83,765;84,692;21,644;21,763;99,596;99,582
2014;9;9;23;3,76;124,09;84,5;21,37;99,56;3,62;3,75;124,09;123,775;85,045;85,087;21,38;21,521;99,563;99,551
2014;9;10;0;3,78;123,95;85,56;21,15;99,51;3,741;3,649;124,047;124,806;85,83;85,375;21,287;21,302;99,513;99,492
2014;9;10;1;3,78;124,22;86,81;20,97;99,46;3,767;3,85;124,047;123,926;86,148;86,134;21,086;21,136;99,463;99,462
2014;9;10;2;3,81;125,22;88,31;20,81;99,45;3,773;3,784;125,151;124,499;87,643;86,83;20,863;20,922;99,441;99,436
2014;9;10;3;3,88;126,64;89,69;20,71;99,45;3,823;3,806;126,534;125,241;89,582;87,633;20,856;20,715;99,444;99,419
2014;9;10;4;3,88;127,72;91,19;20,62;99,48;3,875;4,044;127,682;126,281;90,276;88,408;20,495;20,552;99,477;99,441
2014;9;10;5;3,88;128,21;91,81;20,62;99,53;3,888;4,139;128,335;127,039;91,348;88,55;20,432;20,779;99,534;99,484
